ID,Family name,Title,Personal name,Age,Department/Class,Passenger/Crew,Citizenship,Position,Status,City,Adult/Minor,Sex
299,NEEDHAM,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
300,NEWBY,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
301,NORMAN,Mr.,Arthur William,,Engineering,Crew,British,Fireman,,,Adult,Male
302,NORTON,Mr.,Bernard Patrick,44,Engineering,Crew,British,Fireman,,,Adult,Male
303,O’BRIEN,Mr.,Patrick,,Engineering,Crew,British,Fireman,,,Adult,Male
304,O’CONNELL,Mr.,John,19,Engineering,Crew,British,Fireman,Single,Liverpool,Adult,Male
305,O’HARE,Mr.,Owen,42,Engineering,Crew,British,Engineers’ Store,,,Adult,Male
306,O’NEILL,Mr.,Michael,44,Engineering,Crew,British,Fireman,,,Adult,Male
307,O’NEILL,Mr.,Bernard,,Engineering,Crew,British,Trimmer,,,Adult,Male
308,O’NEILL,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
309,O’NEILL,Mr.,Paul,,Engineering,Crew,British,Fireman,,,Adult,Male
310,ORANGE,Mr.,John,24,Engineering,Crew,British,Fireman,,,Adult,Male
311,ORMROD,Mr.,Thomas,40,Engineering,Crew,British,Greaser,,,Adult,Male
312,ORMROD,Mr.,James,41,Engineering,Crew,British,Greaser,,,Adult,Male
313,OSBORNE,Mr.,J.,,Engineering,Crew,British,Fireman,,,Adult,Male
314,OSTERBURG,Mr.,August,,Engineering,Crew,Russian,Fireman,,,Adult,Male
315,OWENS,Mr.,Richard,,Engineering,Crew,British,Engineering Storekeeper,,,Adult,Male
316,PALMER,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
317,PATON,Mr.,J. F. ,,Engineering,Crew,Brazilian,Steering Engineer,,,Adult,Male
318,PAYNE,Mr.,Michael,,Engineering,Crew,British,Fireman,,,Adult,Male
319,PIMBLETT,Mr.,James,,Engineering,Crew,British,Refrigeration Greaser,,,Adult,Male
320,PLUMMER,Mr.,Leslie,,Engineering,Crew,British,Fireman,,,Adult,Male
321,POWELL,Mr.,Edward,,Engineering,Crew,British,Trimmer,,,Adult,Male
322,POWER,Mr.,Daniel,,Engineering,Crew,British,Fireman,,,Adult,Male
323,QUARRIE,Mr.,Walter Scott,,Engineering,Crew,British,Ventilation Engineer,,,Adult,Male
324,QUINN,Mr.,George,,Engineering,Crew,British,Greaser,,,Adult,Male
325,RAFFERTY,Mr.,Joseph,23,Engineering,Crew,British,Fireman,,,Adult,Male
326,RAFFERTY,Mr.,Patrick,,Engineering,Crew,British,Trimmer,,,Adult,Male
327,RALPH,Mr.,M.,,Engineering,Crew,British,Fireman,,,Adult,Male
328,RATCLIFF,Mr.,Peter,,Engineering,Crew,British,Fireman,,,Adult,Male
329,REYNOLDS,Mr.,Patrick,,Engineering,Crew,British,Fireman,,,Adult,Male
330,RICE,Mr.,Michael,60,Engineering,Crew,British,Fireman,,,Adult,Male
331,RICE,Mr.,Stephen,,Engineering,Crew,British,Fireman,,,Adult,Male
332,RIGBY,Mr.,G.,24,Engineering,Crew,British,Fireman,,,Adult,Male
333,ROACH(E),Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
334,ROBINSON,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
335,ROGAN,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
336,ROSS,Mr.,E. W.,,Engineering,Crew,British,Fireman,,,Adult,Male
337,ROSSITER,Mr.,Laurence,,Engineering,Crew,British,Fireman,,,Adult,Male
338,ROWAN,Mr.,Fred,44,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
339,ROWE,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
340,RUDDAN,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
341,RYAN (Rice),Mr.,Edward,,Engineering,Crew,British,Fireman,,,Adult,Male
342,SAVAGE,Mr.,Frank,,Engineering,Crew,British,Fireman,,,Adult,Male
343,SCANNELL,Mr.,Charles,25,Engineering,Crew,British,Fireman,,Roberts Cove  Minane Bridge,Adult,Male
344,SCOTT,Mr.,C.,,Engineering,Crew,British,Fireman,,,Adult,Male
345,SHARKEY,Mr.,John    ,,Engineering,Crew,British,Electric Attendant,,,Adult,Male
346,SHEPHERD,Mr.,Ralph Alfred,,Engineering,Crew,British,Fireman,,,Adult,Male
347,SHERIDAN,Mr.,Geoffrey,50,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
348,SHERIDAN,Mr.,Patrick,56,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
349,SINNOT,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
350,SLAVIN,Mr.,Owen,,Engineering,Crew,British,Trimmer,,Dundalk,Adult,Male
351,SMITH,Mr.,William Thomas,,Engineering,Crew,British,Intermediate 2nd Engineer,,,Adult,Male
352,SOUTHWOLD,Mr.,Henry,,Engineering,Crew,British,Greaser,,,Adult,Male
353,STAFFORD,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
354,STANLEY,Mr.,H.,,Engineering,Crew,British,Fireman,,,Adult,Male
355,STANLEY (Shanley?),Mr.,J.,,Engineering,Crew,British,Fireman,,,Adult,Male
356,SWEENEY,Mr.,Jeremiah,,Engineering,Crew,British,Fireman,,Castlebar,Adult,Male
357,TAYLOR,Mr.,Chris,,Engineering,Crew,British,Trimmer,,,Adult,Male
358,TAYLOR,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
359,TEAR,Mr.,Joseph Edward,,Engineering,Crew,British,Trimmer,,,Adult,Male
360,THOMPSON,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
361,THOMPSON,Mr.,John E.,,Engineering,Crew,British,Trimmer,,,Adult,Male
362,THOMPSON,Mr.,Michael,,Engineering,Crew,British,Trimmer,,,Adult,Male
363,TIERNEY,Mr.,Michael,,Engineering,Crew,British,Fireman,,,Adult,Male
364,TONER (Tower),Mr.,"Francis ""Frank""",,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
365,TOOLE,Mr.,James,38,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
366,TRAINOR,Mr.,A. (Thomas Pilcher),,Engineering,Crew,British,Trimmer,,,Adult,Male
367,TRAYNOR,Mr.,Philip Henry,28,Engineering,Crew,British,Trimmer,,,Adult,Male
368,TURNER,Mr.,Joseph,,Engineering,Crew,British,Trimmer,,,Adult,Male
369,VOSE,Mr.,George,,Engineering,Crew,British,Trimmer,,,Adult,Male
370,WALSH,Mr.,R.,,Engineering,Crew,British,Greaser,,,Adult,Male
371,WARD,Mr.,Michael,28,Engineering,Crew,British,Fireman,,,Adult,Male
372,WARD,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
373,WAREING,Mr.,Richard,52,Engineering,Crew,British,Fireman,,,Adult,Male
374,WEBB,Mr.,James,,Engineering,Crew,British,Trimmer,,,Adult,Male
375,WELSH,Mr.,Christopher,28,Engineering,Crew,British,Trimmer,,,Adult,Male
376,WELSH,Mr.,Martin,36,Engineering,Crew,British,Trimmer,,,Adult,Male
377,WHEELHOUSE,Mr.,Alfred Faulkner,,Engineering,Crew,British,Junior 7th Engineer,,,Adult,Male
378,WHELAN,Mr.,John James,,Engineering,Crew,British,Fireman,,,Adult,Male
379,WHITMORE,Mr.,George,,Engineering,Crew,British,Fireman,,,Adult,Male
380,WIENCKE,Mr.,Paul Frederick (Friedriche),38,Engineering,Crew,German,Trimmer,Married,Liverpool,Adult,Male
381,WIENCKE,Master,Paul,16,Engineering,Crew,British,Greaser,,Liverpool,Minor,Male
382,WILLIAMS,Mr.,Sydney,,Engineering,Crew,British,Trimmer,,,Adult,Male
383,WOOD,Mr.,John H.,,Engineering,Crew,British,Greaser,,,Adult,Male
384,WOODS,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
385,WYLIE,Mr.,Richard G.,31,Engineering,Crew,British,Third Junior 3rd Engineer,,,Adult,Male
386,WYNN,Mr.,Peter,,Engineering,Crew,British,Trimmer,,,Adult,Male
387,ADAMS,Mr.,William McMillan,19,Saloon,Passenger,USA,,Single,Cambridge,Adult,Male
388,ADAMS,Mr.,Arthur Henry,46,Saloon,Passenger,USA,,Married,London,Adult,Male
389,ADAMS,Mr.,Henry,58,Saloon,Passenger,British,,Married,Tenby,Adult,Male
390,ADAMS,Mrs.,Henry (Annie Elizabeth Macnutt),46,Saloon,Passenger,British,,Married,Boston    ,Adult,Female
391,ALLAN,Lady,Hugh Montagu (Marguerite Ethel MacKenzie),42,Saloon,Passenger,British,,Married,Montreal,Adult,Female
392,ALLAN,Miss,Gwendolyn Evelyn,15,Saloon,Passenger,British,,Single,Montreal,Minor,Female
393,ALLAN,Miss,Anna Marjory,16,Saloon,Passenger,British,,Single,Montreal,Minor,Female
394,ALLEN,Miss,Dorothy Ditman (nurse to the Cromptons),26,Saloon,Passenger,USA,,Single,Philadephia,Adult,Female
395,ALLES,Mr.,Nicholas Naftel,50,Saloon,Passenger,USA,,,New York,Adult,Male
396,AYALA,Mr.,Julian de,45,Saloon,Passenger,Cuban,,Married,Liverpool,Adult,Male
397,BAKER,Mr.,James,50,Saloon,Passenger,British,,,,Adult,Male
398,BAKER,Miss,"Amelia ""Millie"" Anne",27,Saloon,Passenger,USA,,Divorced,New York,Adult,Female
399,BALDWIN,Mr.,Harry Bradley,48,Saloon,Passenger,USA,,Married,New York,Adult,Male
400,BALDWIN,Mrs.,Harry Bradley (Mary Margaret MacCauley),38,Saloon,Passenger,USA,,Married,New York,Adult,Female
401,BARNES,Mr.,Allen Byron,43,Saloon,Passenger,British,,,Berlin,Adult,Male
402,BARTLETT,Mr.,George Walter Bowers,42,Saloon,Passenger,British,,Married,London,Adult,Male
403,BARTLETT,Mrs.,George W. B. (Irma Florine Rothschild),31,Saloon,Passenger,British,,Married,London,Adult,Female
404,BATES,Mr.,"Lindon Wallace, Jr.",32,Saloon,Passenger,USA,,Single,New York,Adult,Male
405,BATTERSBY,Mr.,James Johnson,40,Saloon,Passenger,British,,,Stockport,Adult,Male
406,BERNARD,Mr.,Oliver Percy,34,Saloon,Passenger,British,,Single,London,Adult,Male
407,BERNARD,Mr.,"Clinton ""Will"" Percival",27,Saloon,Passenger,USA,,Single,New York,Adult,Male
408,BILICKE,Mr.,Albert Clay,54,Saloon,Passenger,USA,,Married,South Pasadena,Adult,Male
409,BILICKE,Mrs.,Albert Clay (Gladys Huff),50,Saloon,Passenger,USA,,Married,South Pasadena,Adult,Female
410,BISTIS,Mr.,Leonidas M.,33,Saloon,Passenger,Greek,,,Atlanta,Adult,Male
411,BLACK,Mr.,James Joseph,39,Saloon,Passenger,British,,,Liverpool,Adult,Male
412,BLOOMFIELD,Mr.,Thomas,50,Saloon,Passenger,USA,,,New York,Adult,Male
413,BOHAN,Mr.,James,38,Saloon,Passenger,British,,,Toronto,Adult,Male
414,BOULTON,Mr.,Denis Duncan Harold Owen,23,Saloon,Passenger,British,,Single,Chicago,Adult,Male
415,BOUTEILLER,Mrs.,Paul (Elise Schauring) (maid to the Loneys),47,Saloon,Passenger,French,,Widowed,New York,Adult,Female
416,BOWRING,Mr.,Charles Warren,44,Saloon,Passenger,British,,Married,New York,Adult,Male
417,BRAITHWAITE,Miss,Dorothy Douglas,24,Saloon,Passenger,British,,Single,Montreal,Adult,Female
418,BRANDELL,Miss,Josephine Mary,23,Saloon,Passenger,USA,,Divorced,New York,Adult,Female
419,BRODRICK,Mr.,Carlton Thayer,28,Saloon,Passenger,USA,,Single,Newton Centre,Adult,Male
420,BRODRICK-CLOETE,Mr.,William,63,Saloon,Passenger,British,,,London,Adult,Male
421,BROOKS,Mr.,"James ""Jay"" Ham",41,Saloon,Passenger,USA,,Married,Bridgeport,Adult,Male
422,BROWN,Mr.,William Henry Helm,34,Saloon,Passenger,British,,,Buffalo,Adult,Male
423,BROWN,Mrs.,"F. C. (Mary ""May"" Cummins)",55,Saloon,Passenger,USA,,Widowed,New York,Adult,Female
424,BRUNO,Mr.,Henry Augustine,45,Saloon,Passenger,British,,Married,Montclair,Adult,Male
425,BRUNO,Mrs.,Henry Augustine (Annie Thompson),45,Saloon,Passenger,British,,Married,Montclair,Adult,Female
426,BURGESS,Mr.,Henry George,37,Saloon,Passenger,British,,,Bradford,Adult,Male
427,BURNSIDE,Miss,Iris Margaret,20,Saloon,Passenger,British,,Single,Toronto,Adult,Female
428,BURNSIDE,Mrs.,Thomas David Meldrum (Josephine Smyth Eaton),49,Saloon,Passenger,British,,Married,Toronto,Adult,Female
429,BUSWELL,Mr.,Peter,26,Saloon,Passenger,British,,Married,London,Adult,Male
430,BYINGTON,Mr.,Albert Jackson,40,Saloon,Passenger,USA,,Married,São Paulo,Adult,Male
431,BYRNE,Mr.,Michael G.,47,Saloon,Passenger,USA,,Married,New York,Adult,Male
432,CAIRNS,Mr.,Robert Wishart,49,Saloon,Passenger,British,,,,Adult,Male
433,CAMPBELL,Mr.,Alexander,43,Saloon,Passenger,British,,Married,London,Adult,Male
434,CAMPBELL-JOHNSTON,Mr.,Conway Seymour Godfrey,56,Saloon,Passenger,British,,Married,Los Angeles,Adult,Male
435,CAMPBELL-JOHNSTON,Mrs.,Conway Seymour Godfrey (Ida Amelia McBride),57,Saloon,Passenger,British,,Married,Los Angeles,Adult,Female
436,CHABOT,Mr.,David Louis,49,Saloon,Passenger,British,,,London,Adult,Male
437,CHAPMAN,Mrs.,William Henry (Ellen Elizabeth Nottingham),59,Saloon,Passenger,British,,Married,Toronto,Adult,Female
438,CHARLES,Mr.,Joseph Henry,48,Saloon,Passenger,British,,Married,Toronto,Adult,Male
439,CHARLES,Miss,Doris Maud,21,Saloon,Passenger,British,,Single,Toronto,Adult,Female
440,CLARKE,Reverend,Charles Cowley,64,Saloon,Passenger,British,,,Clifton,Adult,Male
441,CLARKE,Mr.,Alfred Russell,55,Saloon,Passenger,British,,Married,Toronto,Adult,Male
442,COLEBROOK,Mr.,Herbert Gladstone,35,Saloon,Passenger,British,,,Toronto,Adult,Male
443,CONNER,Miss,Dorothy,25,Saloon,Passenger,USA,,Single,Medford,Adult,Female
444,COPPING,Mr.,George Robert,53,Saloon,Passenger,British,,Married,Toronto,Adult,Male
445,COPPING,Mrs.,George Robert (Emma Louisa Black),53,Saloon,Passenger,British,,Married,Toronto,Adult,Female
446,CRICHTON,Mrs.,William C. (Mabel Gardner),42,Saloon,Passenger,USA,,Married,London,Adult,Female
447,CROMPTON,Mr.,Paul,44,Saloon,Passenger,British,,Married,Philadephia,Adult,Male
448,CROMPTON,Master,Peter Romilly,9,Saloon,Passenger,British,,Single,Philadephia,Infant,Male
449,CROMPTON,Master,John David,6,Saloon,Passenger,British,,Single,Philadephia,Minor,Male
450,CROMPTON,Master,Paul Romilly,9,Saloon,Passenger,British,,Single,Philadephia,Minor,Male
451,CROMPTON,Master,Stephen Hugh,14,Saloon,Passenger,British,,Single,Philadephia,Minor,Male
452,CROMPTON,Mrs.,Paul (Gladys Mary Salis-Schawbe),37,Saloon,Passenger,British,,Married,Philadephia,Adult,Female
453,CROMPTON,Miss,Catherine Mary,10,Saloon,Passenger,British,,Single,Philadephia,Minor,Female
454,CROMPTON,Miss,Alberta,12,Saloon,Passenger,British,,Single,Philadephia,Minor,Female
455,CROOKS,Mr.,Robert Williams,39,Saloon,Passenger,British,,,Toronto,Adult,Male
456,CROSS,Mr.,Ambrose Betham,38,Saloon,Passenger,British,,,,Adult,Male
457,DALY,Mr.,Harold Mayne,35,Saloon,Passenger,British,,,Vancouver,Adult,Male
458,DAVIS,Miss,Emily (maid to the Allans),,Saloon,Passenger,British,,Single,Montreal,Adult,Female
459,DEARBERGH,Mr.,Robert Edward,48,Saloon,Passenger,British,,,New York,Adult,Male
460,DENYER,Mr.,Ronald (valet to Mr. Vanderbilt),30,Saloon,Passenger,USA,,,New York,Adult,Male
461,DEPAGE,Mrs.,Antoine (Marie Picard),43,Saloon,Passenger,Belgian,,Married,Brussells,Adult,Female
462,DINGWALL,Mr.,Charles Arthur,62,Saloon,Passenger,British,,,London,Adult,Male
463,DOUGALL,Miss,Catherine,24,Saloon,Passenger,British,,Single,Quebec,Adult,Female
464,DRAKE,Mr.,Bernard Audley Mervyn,23,Saloon,Passenger,British,,,Detriot,Adult,Male
465,DREDGE,Mr.,Joseph Allan,43,Saloon,Passenger,British,,Married,Belize,Adult,Male
466,DREDGE,Mrs.,Joseph Allan (Evelyn),39,Saloon,Passenger,British,,Married,Belize,Adult,Female
467,DUNSMUIR,Mr.,"James A., Jr.",21,Saloon,Passenger,British,,,Toronto,Adult,Male
468,EMOND,Mr.,Walter Alfred,46,Saloon,Passenger,British,,,Quebec,Adult,Male
469,FENWICK,Mr.,John,44,Saloon,Passenger,nan,,,,Adult,Male
470,FISHER,Dr.,Howard Lowrie,49,Saloon,Passenger,USA,,Married,Washington,Adult,Male
471,FORMAN,Mr.,Justus Miles,39,Saloon,Passenger,USA,,Single,New York,Adult,Male
472,FOWLES,Mr.,Charles Frederick,49,Saloon,Passenger,British,,Married,New York,Adult,Male
473,FOWLES,Mrs.,Charles Frederick (Frances May Turner),47,Saloon,Passenger,British,,Married,New York,Adult,Female
474,FREEMAN,Mr.,"Richard Rich, Jr.",28,Saloon,Passenger,USA,,Single,Boston,Adult,Male
475,FRIEDENSTEIN,Mr.,Joseph,48,Saloon,Passenger,British,,,London,Adult,Male
476,FRIEND,Professor,Edwin William,28,Saloon,Passenger,USA,,Married,Farmington,Adult,Male
477,FROHMAN,Mr.,Charles,58,Saloon,Passenger,USA,,Single,New York,Adult,Male
478,GAUNTLETT,Mr.,Frederic John,45,Saloon,Passenger,USA,,,Washington,Adult,Male
479,GIBSON,Mr.,Matthew Orr,48,Saloon,Passenger,British,,,Glasgow,Adult,Male
480,GILPIN,Mr.,George Arthur,47,Saloon,Passenger,British,,,London,Adult,Male
481,GORER,Mr.,Edgar Ezekiel,43,Saloon,Passenger,British,,,London,Adult,Male
482,GRAB,Mr.,Oscar Frederick,28,Saloon,Passenger,USA,,,New York,Adult,Male
483,GRANT,Mr.,Montagu Tassell,47,Saloon,Passenger,British,,Married,Chicago,Adult,Male
484,GRANT,Mrs.,Montagu Tassell (Chastina Janet Moore),43,Saloon,Passenger,British,,Married,Chicago,Adult,Female
485,HAMMOND,Mr.,Ogden Haggerty,46,Saloon,Passenger,USA,,Married,Bernardsville and New York,Adult,Male
486,HAMMOND,Mrs.,Ogden Haggerty (Mary Picton Stevens),29,Saloon,Passenger,USA,,Married,Bernardsville and New York,Adult,Female
487,HAMMOND,Mr.,Frederick Sydney,29,Saloon,Passenger,British,,Married,Toronto,Adult,Male
488,HAMMOND,Mrs.,Frederick Sydney (Kathleen Saunders McParland),29,Saloon,Passenger,British,,Married,Toronto,Adult,Female
489,HARDWICK,Mr.,Charles Cheever,49,Saloon,Passenger,USA,,,New York,Adult,Male
490,HARPER,Mr.,John Henry,55,Saloon,Passenger,British,,Married,Redditch,Adult,Male
491,HARRIS,Mr.,Dwight Carlton,31,Saloon,Passenger,USA,,,New York,Adult,Male
492,HAWKINS,Mr.,Frederick William,33,Saloon,Passenger,British,,,Winnipeg,Adult,Male
493,HICKSON,Miss,Kathryn,57,Saloon,Passenger,USA,,Single,New York,Adult,Female
494,HILL,Mr.,Charles Tilden,38,Saloon,Passenger,USA,,Married,London,Adult,Male
495,HODGES,Mr.,William Sterling,33,Saloon,Passenger,USA,,Married,Philadephia,Adult,Male
496,HODGES,Master,Dean Winston,5,Saloon,Passenger,USA,,Single,Philadephia,Minor,Male
497,HODGES,Master,"William Sterling, Jr.",8,Saloon,Passenger,USA,,Single,Philadephia,Minor,Male
498,HODGES,Mrs.,William Sterling (Sarah Grisemer),35,Saloon,Passenger,USA,,Married,Philadephia,Adult,Female
499,HOLT,Master,William Robert Grattan,15,Saloon,Passenger,British,,Single,Montreal,Minor,Male
500,HOME,Mr.,Thomas,50,Saloon,Passenger,British,,Married,Toronto,Adult,Male
501,HOPKINS,Mr.,Albert Lloyd,44,Saloon,Passenger,USA,,Married,New York,Adult,Male
502,HOUGHTON,Dr.,James Tilley,29,Saloon,Passenger,USA,,Married,Troy,Adult,Male
503,HUBBARD,Mr.,Elbert Green,58,Saloon,Passenger,USA,,Married,East Aurora,Adult,Male
504,HUBBARD,Mrs.,Elbert Green (Alice Moore),53,Saloon,Passenger,USA,,Married,East Aurora,Adult,Female
505,HURLEY,Miss,Margaret (maid to the Learoyds),25,Saloon,Passenger,British,,Single,Sydney,Adult,Female
506,HUTCHINSON,Miss,Phyllis,24,Saloon,Passenger,British,,Single,Cheshire,Adult,Female
507,JACOBAEUS,Mr.,Sigurd Anton,55,Saloon,Passenger,Swedish,,,,Adult,Male
508,JEFFERY,Mr.,Charles Thomas,39,Saloon,Passenger,USA,,,Kenosha,Adult,Male
509,JENKINS,Mr.,Francis Bertram,29,Saloon,Passenger,British,,Married,Chicago,Adult,Male
510,JOLIVET,Miss,"Marguerite ""Rita"" Lucile",25,Saloon,Passenger,French,,Single,Paris,Adult,Female
511,JONES,Miss,Margaret Druller,44,Saloon,Passenger,British,,Single,Honolulu,Adult,Female
512,KEEBLE,Mr.,Wilfrid R.,31,Saloon,Passenger,British,,Married,Toronto,Adult,Male
513,KEEBLE,Mrs.,Wilfrid R. (Fannie Maud Goldsbrough),32,Saloon,Passenger,British,,Married,Toronto,Adult,Female
514,KELLETT,Mr.,Francis Cranston,47,Saloon,Passenger,USA,,,Tuckahoe,Adult,Male
515,KEMPSON,Mr.,Maitland,55,Saloon,Passenger,British,,,Toronto,Adult,Male
516,KENAN,Dr.,Owen Hill,42,Saloon,Passenger,USA,,,Wilmington,Adult,Male
517,KENNEDY,Mrs.,"Caroline ""Carrie"" (Caroline Hickson)",53,Saloon,Passenger,USA,,Widowed,New York,Adult,Female
518,KESER,Mr.,Harry J.,41,Saloon,Passenger,USA,,Married,Philadephia,Adult,Male
519,KESER,Mrs.,Harry J. (Mary Bringhurst Floyd),50,Saloon,Passenger,USA,,Married,Philadephia,Adult,Female
520,KESSLER,Mr.,George A.,52,Saloon,Passenger,USA,,Married,New York,Adult,Male
521,KING,Mr.,Thomas Boyce,49,Saloon,Passenger,USA,,,Rye,Adult,Male
522,KLEIN,Mr.,Charles,48,Saloon,Passenger,British,,Married,London,Adult,Male
523,KNIGHT,Mr.,Charles Harwood,39,Saloon,Passenger,USA,,,Baltimore,Adult,Male
524,KNIGHT,Miss,Elaine Harwood,42,Saloon,Passenger,USA,,,Baltimore,Adult,Female
525,KNOX,Mr.,Samuel McIlhenny,57,Saloon,Passenger,USA,,Married,Philadephia,Adult,Male
526,LANE,Sir,Hugh Percy,39,Saloon,Passenger,British,,Married,Dublin,Adult,Male
527,LASSETTER,Lieutenant,Frederick Macquarie A. (Antill?),22,Saloon,Passenger,British,,Single,Sydney    ,Adult,Male
528,LASSETTER,Mrs.,Harry Beauchamp (Elisabeth Anne Antill),43,Saloon,Passenger,British,,Married,Sydney    ,Adult,Female
529,LAURIAT,Mr.,"Charles Emelius, Jr.",40,Saloon,Passenger,USA,,Married,Boston,Adult,Male
530,LEAROYD,Mr.,Charles Alfred,47,Saloon,Passenger,British,,Married,Sydney,Adult,Male
531,LEAROYD,Mrs.,Charles Alfred (Mabel Kate Symonds),41,Saloon,Passenger,British,,Married,Sydney,Adult,Female
532,LEARY,Mr.,James Joseph,35,Saloon,Passenger,USA,,,Brooklyn,Adult,Male
533,LEHMANN,Mr.,Isaac,36,Saloon,Passenger,USA,,,New York,Adult,Male
534,LEIGH,Mr.,Evan Arthur,65,Saloon,Passenger,British,,,Liverpool,Adult,Male
535,LETTS,Mr.,Gerald Arthur,45,Saloon,Passenger,British,,Married,New York,Adult,Male
536,LEVINSON,Mr.,"Joseph, Jr.",36,Saloon,Passenger,British,,,,Adult,Male
537,LEWIN,Mr.,Frederick Guy,45,Saloon,Passenger,British,,Married,,Adult,Male
538,LINES,Miss,Alice Maud (nurse to the Pearls),18,Saloon,Passenger,British,,Single,New York,Adult,Female
539,LOBB,Mrs.,Reginald Popham (Mary Beatrice Jackman),31,Saloon,Passenger,British,,Married,,Adult,Female
540,LOCKHART,Mr.,Reginald Raphael,49,Saloon,Passenger,British,,,Toronto,Adult,Male
541,LONEY,Miss,Virginia Bruce,15,Saloon,Passenger,USA,,Single,New York,Minor,Female
542,LONEY,Mr.,Allen Donnellan,43,Saloon,Passenger,USA,,Married,New York,Adult,Male
543,LONEY,Mrs.,Allen Donnellan (Catharine Wolfe Brown),37,Saloon,Passenger,USA,,Married,New York,Adult,Female
544,LORENSON,Miss,Greta (nurse to the Pearls),23,Saloon,Passenger,Danish,,Single,New York,Adult,Female
545,LUCK,Master,Kenneth Field,8,Saloon,Passenger,USA,,Single,Worcester,Minor,Male
546,LUCK,Master,Elbridge Courtlandt,9,Saloon,Passenger,USA,,Single,Worcester,Minor,Male
547,LUCK,Mrs.,Arthur Courtlandt (Charlotte Field),34,Saloon,Passenger,USA,,Married,Worcester,Adult,Female
548,MACDONA,Mrs.,Henry D. (Amelia Herbert),59,Saloon,Passenger,USA,,Widowed,New York,Adult,Female
549,MACKWORTH,Lady,Humphrey (Margaret Haig Thomas),32,Saloon,Passenger,British,,Married,Cardiff,Adult,Female
550,MacLENNAN,Mr.,Frederick Ebenezer,44,Saloon,Passenger,British,,,Glasgow,Adult,Male
551,MASON,Mr.,Stewart Southam,30,Saloon,Passenger,British,,Married,Ipswich,Adult,Male
552,MASON,Mrs.,Stewart Southam (Leslie Hawthorne Lindsey),28,Saloon,Passenger,USA,,Married,Boston,Adult,Female
553,MATHEWS,Mr.,Arthur Thomas,38,Saloon,Passenger,British,,,Montreal,Adult,Male
554,MATURIN,Father,Basil William,68,Saloon,Passenger,British,,Single,Holywell Oxford,Adult,Male
555,MAURICE,Mr.,George Solomon,43,Saloon,Passenger,British,,,London,Adult,Male
556,McCONNEL,Mr.,John Wanklyn,60,Saloon,Passenger,British,,Married,Manchester,Adult,Male
557,McLEAN,Mr.,Walter,38,Saloon,Passenger,British,,,,Adult,Male
558,McMURRAY,Mr.,Leonard Leathes,48,Saloon,Passenger,British,,,Toronto,Adult,Male
559,McMURTRY,Mr.,Frederick Archibald,45,Saloon,Passenger,British,,,New York,Adult,Male
560,MEDBURY,Mr.,Maurice Benjamin,50,Saloon,Passenger,USA,,,New York,Adult,Male
561,MILLER,Captain,James Blaine,32,Saloon,Passenger,USA,,,Washington,Adult,Male
562,MILLS,Mr.,Charles Veitch,33,Saloon,Passenger,USA,,Married,New Rochelle,Adult,Male
563,MILNE,Miss,Caroline (nurse to Master Stephens),35,Saloon,Passenger,British,,Single,Montreal,Adult,Female
564,MITCHELL,Mr.,James Duncan,,Saloon,Passenger,British,,,Philadelphia,Adult,Male
565,MOODIE,Mr.,Ralph Troupe,,Saloon,Passenger,British,,,Gainesville,Adult,Male
566,MORELL,Mrs.,"Moses ""Max"" Samuel (Goldiana ""Georgina"" Ambler)",76,Saloon,Passenger,British,,Widowed,Toronto,Adult,Female
567,MORRISON,Mr.,Kenneth John,48,Saloon,Passenger,British,,,,Adult,Male
568,MOSELY,Mr.,George Gordon,29,Saloon,Passenger,British,,,,Adult,Male
569,MUNRO,Mrs.,Charles (Alexandra),,Saloon,Passenger,nan,,,,Adult,Female
570,MYERS,Mr.,Herman Abraham,44,Saloon,Passenger,USA,,Married,New York,Adult,Male
571,MYERS,Mr.,Joseph Laurence,48,Saloon,Passenger,USA,,Married,New York,Adult,Male
572,NAUMANN,Mr.,Frank Gustavus,61,Saloon,Passenger,British,,,Cranleigh,Adult,Male
